ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
ERNA,Ernexa Therapeutics .,0000748592,Ernexa Therapeutics Inc.,2026-05-11,10-Q,9.18,0.04,,9.22,2.03,-2.26,-5.51,1.69,1.63,2.26,0.75,12.2,1166333.0,7.91,True,True,2026-03-30,EFFECT,5,HIGH,GOOD,"cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | st_invest_tags=AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:2;424B5:1;8-A12B:1;8-K:6;ARS:1;CERT:1;CORRESP:1;DEF 14A:1;DEF 14C:1;DEFA14A:1;DRS:1;EFFECT:2;PRE 14C:1;S-1:1;S-1/A:2;S-3:1;S-3/A:1;SCHEDULE 13D/A:1;SCHEDULE 13G:2;SCHEDULE 13G/A:7;UPLOAD:1,2026-06-26T07:21:32+00:00
ESLA,"Estrella Immunopharma, .",0001844417,"Estrella Immunopharma, Inc.",2026-05-18,10-Q,1.93,,,1.93,,-6.7,-2.29,1.4,0.89,6.7,2.23,0.9,43034228.0,0.04,True,True,2026-02-13,424B3,4,HIGH,GOOD,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;3:1;4:1;424B3:1;424B5:1;8-K:7;DEF 14A:1;EFFECT:1;NT 10-Q:1;S-1:1;S-1/A:2;SCHEDULE 13G:1,2026-06-26T07:21:33+00:00
ESPR,"Esperion Therapeutics, .",0001434868,"Esperion Therapeutics, Inc.",2026-05-08,10-Q,156.16,165.73,73.42,395.31,0.29,-27.72,-25.2,,21.71,27.72,9.24,42.8,257431942.0,1.54,False,True,2025-10-08,424B5,2,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:16;3:2;4:26;424B5:2;8-K:14;8-K/A:2;ARS:1;DEF 14A:1;DEFA14A:5;DEFM14A:1;NT 10-Q:1;PREM14A:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:3,2026-06-26T07:21:34+00:00
ETON,"Eton Pharmaceuticals, .",0001710340,"Eton Pharmaceuticals, Inc.",2026-05-14,10-Q,19.66,,,19.66,27.73,7.41,1.55,1.88,10.45,12.32,4.11,4.8,27392358.0,0.72,False,False,,,0,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:14;3:1;4:18;8-K:16;8-K/A:1;DEF 14A:1;S-8:2;SCHEDULE 13G:2;SCHEDULE 13G/A:1,2026-06-26T07:21:36+00:00
EVGN,Evogene .,0001574565,Evogene Ltd.,2026-03-26,20-F,,,,,,,,,,,,,8718193.0,,True,True,2026-06-11,424B5,8,HIGH,LOW,cash_missing | burn_missing,20-F:1;3:10;424B3:1;424B5:1;6-K:19;CORRESP:1;D:1;EFFECT:3;F-3:1;POS AM:2;S-8:1;SCHEDULE 13G:1;UPLOAD:1,2026-06-26T07:21:37+00:00
EWTX,"Edgewise Therapeutics, .",0001710072,"Edgewise Therapeutics, Inc.",2026-05-07,10-Q,33.21,,,33.21,0.01,-42.54,-49.01,42.65,11.46,42.54,14.18,2.3,107593006.0,0.31,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:9;3:2;4:27;8-K:9;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:7,2026-06-26T07:21:38+00:00
EXPD,"Expeditors International of Washington, .",0000746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,2026-05-06,10-Q,1316.5,0.04,,1316.54,,309.23,229.61,,,,,,130791133.0,10.07,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing,10-K:1;10-Q:3;144:9;3:2;4:65;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G:2;SCHEDULE 13G/A:1,2026-06-26T07:21:39+00:00
FATE,"Fate Therapeutics, .",0001434316,FATE THERAPEUTICS INC,2026-05-13,10-Q,39.57,135.25,,174.82,47.1,-30.82,-31.21,24.7,9.6,30.82,10.27,17.0,116559186.0,1.5,False,False,,,0,UNKNOWN,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:7;3:3;4:23;4/A:1;8-K:8;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G/A:4,2026-06-26T07:21:41+00:00
FBIO,"Fortress Biotech, .",0001429260,"Fortress Biotech, Inc.",2026-05-14,10-Q,255.84,0.0,,255.84,0.4,203.85,110.37,9.45,22.22,31.67,10.56,24.2,82474127.0,3.1,False,True,2025-12-18,424B3,3,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:13;424B3:1;424B7:1;8-K:13;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-1:1;SCHEDULE 13D/A:4;SCHEDULE 13G/A:1,2026-06-26T07:21:43+00:00
FBRX,"Forte Biosciences, .",0001419041,"Forte Biosciences, Inc.",2026-05-11,10-Q,58.22,36.12,,94.34,22.08,-18.81,-22.14,3.14,1.97,18.81,6.27,15.0,13885668.0,6.79,True,True,2026-06-10,EFFECT,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:18;424B5:2;8-K:6;ARS:1;DEF 14A:1;EFFECT:1;S-3:1;S-3/A:1;S-8:2;SCHEDULE 13G:6;SCHEDULE 13G/A:17,2026-06-26T07:21:44+00:00
FDMT,"4D Molecular Therapeutics, .",0001650648,"4D Molecular Therapeutics, Inc.",2026-05-07,10-Q,72.49,389.09,132.23,593.81,,-68.12,-68.76,15.84,11.69,68.12,22.71,26.1,49778127.0,11.93,True,True,2026-05-13,EFFECT,3,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent,AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:7;3:4;4:24;424B5:1;8-K:15;ARS:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:9,2026-06-26T07:21:45+00:00
FENC,Fennec Pharmaceuticals .,0001211583,FENNEC PHARMACEUTICALS INC.,2026-05-14,10-Q,40.18,,,40.18,26.0,2.38,0.2,0.05,3.19,3.23,1.08,37.3,34737030.0,1.16,False,True,2025-11-18,424B5,3,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:14;4:63;424B5:3;8-K:15;DEF 14A:1;S-8:3;SCHEDULE 13G:2;SCHEDULE 13G/A:5,2026-06-26T07:21:47+00:00
FHTX,Foghorn Therapeutics .,0001822462,Foghorn Therapeutics Inc.,2026-05-07,10-Q,87.66,,,87.66,0.0,-25.27,-19.88,18.26,6.58,25.27,8.42,10.4,58713922.0,1.49,True,True,2026-01-12,424B5,1,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:1;4:19;424B5:1;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G/A:3,2026-06-26T07:21:48+00:00
FLGT,"Fulgent Genetics, .",0001674930,"Fulgent Genetics, Inc.",2026-05-01,10-Q,23.4,26.95,7.46,57.81,,7.1,-24.83,14.18,27.68,24.83,8.28,7.0,28400623.0,2.04,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:13;144/A:2;4:56;4/A:1;8-K:10;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G/A:3,2026-06-26T07:21:49+00:00
FLNA,"Filana Therapeutics, .",0001069530,"FILANA THERAPEUTICS, INC.",2026-05-07,10-Q,86.57,2.1,,88.67,,-8.88,-10.33,4.54,6.62,8.88,2.96,30.0,48307896.0,1.84,False,True,2025-12-05,EFFECT,3,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:8;424B2:1;8-K:17;8-K/A:1;ARS:1;CORRESP:1;DEF 14A:1;EFFECT:1;S-3:1;SCHEDULE 13G/A:2,2026-06-26T07:21:51+00:00
FSI,Flexible Solutions International .,0001069394,FLEXIBLE SOLUTIONS INTERNATIONAL INC,2026-05-15,10-Q,5.82,1.39,,7.21,4.34,-1.82,-0.24,0.12,,1.82,0.61,11.9,12737498.0,0.57,True,True,2026-03-05,EFFECT,2,HIGH,GOOD,"cash_tag=Cash | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:1;4:4;4/A:1;8-K:7;8-K/A:1;DEF 14A:1;DRS:1;DRS/A:1;EFFECT:1;NT 10-K:1;S-3:1;SCHEDULE 13D/A:1,2026-06-26T07:21:53+00:00
FTH,"Faeth Therapeutics, .",0001829802,"Sensei Biotherapeutics, Inc.",2026-05-15,10-Q,152.32,140.46,,292.79,0.57,-10.73,-170.24,3.37,19.71,10.73,3.58,81.8,1341941.0,218.18,True,True,2026-06-12,EFFECT,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;144:7;3:7;4:21;4/A:1;8-K:16;8-K/A:1;ARS:1;D:1;DEF 14A:1;DEFA14A:3;EFFECT:1;PRE 14A:1;S-3:1;S-3/A:2;S-3ASR:1;S-8:1;SCHEDULE 13G:6;SCHEDULE 13G/A:1,2026-06-26T07:21:54+00:00
FULC,"Fulcrum Therapeutics, .",0001680581,"Fulcrum Therapeutics, Inc.",2026-04-27,10-Q,50.26,0.0,,50.26,,-18.75,-18.89,14.08,8.1,18.75,6.25,8.0,66633321.0,0.75,False,True,2025-12-11,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:3;3:1;4:18;4/A:1;424B5:2;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;FWP:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:8,2026-06-26T07:21:55+00:00
FVRR,Fiverr International .,0001762301,Fiverr International Ltd.,2026-03-12,20-F,125.22,117.7,0.0,242.92,0.0,,,,,,,,36093139.0,6.73,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent,ConvertibleNotesPayable | burn_missing",144:13;20-F:1;3:10;3/A:1;4:16;4/A:1;6-K:8;S-8:2;SCHEDULE 13G/A:5,2026-06-26T07:21:56+00:00
GALT,Galectin Therapeutics .,0001133416,GALECTIN THERAPEUTICS INC,2026-05-15,10-Q,14.11,,,14.11,10.0,-3.87,-5.05,2.23,1.85,3.87,1.29,11.0,65856898.0,0.21,True,True,2026-04-10,EFFECT,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:16;144/A:2;3:1;4:46;4/A:4;5:1;8-K:14;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;UPLOAD:1,2026-06-26T07:21:57+00:00
GANX,"Gain Therapeutics, .",0001819411,"Gain Therapeutics, Inc.",2026-05-11,10-Q,16.54,2.02,0.99,19.55,0.37,-4.73,-5.61,2.76,2.59,4.73,1.58,12.4,42654038.0,0.46,False,True,2025-11-28,424B5,3,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:2;424B5:3;8-K:15;ARS:1;DEF 14A:1;DEFA14A:1;S-3/A:1;S-8:1,2026-06-26T07:21:59+00:00
GCGR,General Catalyst Global Resilience Merger .,0002108962,General Catalyst Global Resilience Merger Corp.,,,,,,,,,,,,,,,,,True,True,2026-04-29,EFFECT,2,HIGH,LOW,cash_missing | burn_missing,3:6;424B4:1;8-A12B:1;8-K:3;CERT:1;CORRESP:2;DRS:1;EFFECT:1;S-1:1;SCHEDULE 13G:2;UPLOAD:1,2026-06-26T07:22:00+00:00
GCO,Genesco .,0000018498,GENESCO INC,2026-06-11,10-Q,27.12,,,27.12,45.35,-102.77,-14.81,,,102.77,34.26,0.8,11106973.0,2.44,False,False,,,0,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-K/A:1;10-Q:3;3:1;4:28;8-K:11;ARS:1;DEFA14A:1;DEFC14A:2;PREC14A:2;PRER14A:1;PRRN14A:1;S-8:1;SCHEDULE 13D:1;SCHEDULE 13D/A:2;SCHEDULE 13G/A:6,2026-06-26T07:22:01+00:00
GD,General Dynamics,0000040533,GENERAL DYNAMICS CORP,2026-04-29,10-Q,3654.0,,,3654.0,6259.0,2155.0,1125.0,,723.0,723.0,241.0,15.2,270430187.0,13.51,False,False,,,0,UNKNOWN,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;11-K:8;144:21;3:2;4:105;4/A:1;8-K:7;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:2;SD:1,2026-06-26T07:22:03+00:00
GDTC,CytoMed Therapeutics,0001873093,CytoMed Therapeutics Ltd,2026-03-31,20-F,,,,,,,,,,,,,11828435.0,,False,True,2025-08-18,424B5,1,MEDIUM,LOW,cash_missing | burn_missing,144:3;20-F:1;3:6;4:1;424B5:1;6-K:20;SCHEDULE 13D/A:1,2026-06-26T07:22:04+00:00
GENB,"Generate Biomedicines, .",0002100782,"Generate Biomedicines, Inc.",2026-05-07,10-Q,160.57,356.07,,516.64,,-80.39,-61.45,57.81,13.52,80.39,26.8,19.3,128192484.0,4.03,True,True,2026-02-26,EFFECT,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-Q:1;3:17;4:16;424B4:1;8-A12B:1;8-K:2;CERT:1;DRS:1;EFFECT:1;S-1:1;S-1/A:2;S-8:1;SCHEDULE 13G:2,2026-06-26T07:22:04+00:00
GIS,"General Mills, .",0000040704,GENERAL MILLS INC,2026-03-18,10-Q,785.5,,,785.5,11464.7,397.0,303.1,,,,,,533681218.0,1.47,True,True,2026-04-13,424B5,4,HIGH,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:3;11-K:1;144:9;25-NSE:2;3:2;4:77;424B5:3;8-A12B:1;8-K:9;ARS:1;CERT:1;DEF 14A:1;DEFA14A:1;FWP:1;PX14A6G:2;SCHEDULE 13G:2;SCHEDULE 13G/A:1,2026-06-26T07:22:06+00:00
GLMD,Galmed Pharmaceuticals .,0001595353,Galmed Pharmaceuticals Ltd.,2026-03-31,20-F,3.98,14.03,,18.01,0.0,,,,,,,,6581390.0,2.74,True,True,2026-06-22,424B3,11,HIGH,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | debt_tags=LongTermDebtNoncurrent | burn_missing",20-F:1;3:9;424B3:3;6-K:25;CORRESP:1;EFFECT:4;F-1:1;POS AM:3;POS EX:1;S-8:1;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:22:08+00:00
GLUE,"Monte Rosa Therapeutics, .",0001826457,"Monte Rosa Therapeutics, Inc.",2026-05-07,10-Q,159.86,,,159.86,,-37.37,-44.5,44.07,10.18,37.37,12.46,12.8,84479418.0,1.89,True,True,2026-01-09,424B5,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:23;144/A:2;3:1;4:32;424B5:2;8-K:11;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13D/A:3;SCHEDULE 13G:2;SCHEDULE 13G/A:11;UPLOAD:2,2026-06-26T07:22:09+00:00
GM,General Motors,0001467858,General Motors Co,2026-04-28,10-Q,19800.0,7049.0,244.0,27093.0,,2950.0,2627.0,,,,,,901665195.0,30.05,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing,10-K:1;10-Q:3;144:24;144/A:1;4:46;8-K:9;ARS:1;CORRESP:2;DEF 14A:1;DEFA14A:2;SCHEDULE 13G:3;SCHEDULE 13G/A:2;SD:1;UPLOAD:3,2026-06-26T07:22:10+00:00
GNLX,Genelux,0001231457,GENELUX Corp,2026-05-07,10-Q,9.27,16.9,,26.17,0.94,-6.06,-8.93,5.78,3.39,6.06,2.02,13.0,44840416.0,0.58,True,True,2026-03-19,424B5,3,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:3;3:2;4:39;424B5:3;8-K:7;ARS:2;DEF 14A:2;DEFA14A:2;S-8:2;SCHEDULE 13G:1;SCHEDULE 13G/A:2,2026-06-26T07:22:11+00:00
GNRC,Generac Holdlings .,0001474735,GENERAC HOLDINGS INC.,2026-05-05,10-Q,265.53,,,265.53,1252.75,119.28,73.25,62.66,76.28,138.94,46.31,5.7,58868681.0,4.51,False,False,,,0,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:15;4:41;8-K:7;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:1;SD:1,2026-06-26T07:22:13+00:00
GNTA,Genenta Science S.p.A.,0001838716,Genenta Science S.p.A.,2026-04-01,20-F,25.7,,,25.7,,,,,,,,,23432183.0,1.1,True,True,2026-01-27,424B5,2,HIGH,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_missing,20-F:1;3:6;4:6;424B5:2;6-K:19;SCHEDULE 13D:1;SCHEDULE 13G/A:1,2026-06-26T07:22:14+00:00
GPCR,Structure Therapeutics .,0001888886,Structure Therapeutics Inc.,2026-05-07,10-Q,316.17,1142.34,,1458.5,,15.23,-75.97,66.51,22.87,75.97,25.32,57.6,213223549.0,6.84,True,True,2026-05-07,424B5,3,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:1;3:1;4:32;424B5:3;8-K:10;ARS:1;DEF 14A:1;S-3ASR:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:12,2026-06-26T07:22:15+00:00
GRCE,"Grace Therapeutics, .",0001444192,"Grace Therapeutics, Inc.",2026-06-18,10-K,16.98,9.8,0.02,26.8,,-1.8,-2.31,0.46,1.99,1.8,0.6,44.6,16274026.0,1.65,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;10-Q/A:1;4:4;8-K:13;DEF 14A:1;DEFA14A:1;SCHEDULE 13G/A:7,2026-06-26T07:22:16+00:00
